증상_선택,진료_선택,치료_선택,카테고리
색변화,치근단질환,신경치료,신경치료
흔들림,치근단질환,기능 회복 보존치,임플란트
통증,외상성 손상,신경치료,신경치료
붓기,치근단질환,기능 회복 보존치료,임플란트
색변화,치근단질환,신경치료,신경치료
색변화,이차우식증,수복물 문제 개선,크라운보철
통증,수복물 문제,충치치료,충치치료
벌어짐,비우식성 경조직 결손,심미수복 치료,심미수복
통증,수복물 문제,심미수복 치료,임플란트
벌어짐,기타,심미수복 치료,심미수복
흔들림,치근단질환,기능 회복 보존치료,임플란트
부러짐,이차우식증,수복물 문제 개선,충치치료
통증,치아 파절,신경치료,신경치료
깨짐,치아 파절,심미수복 치료,심미수복
깨짐,치아 파절,심미수복 치료,임플란트
통증,치근단질환,신경치료,신경치료
색변화,치근단질환,신경치료,신경치료
통증,치근단질환,신경치료,신경치료
통증,치근단질환,신경치료,신경치료
흔들림,수복물 문제,기능 회복 보존치료,임플란트
통증,치근단질환,신경치료,신경치료
흔들림,치근단질환,기능 회복 보존치료,임플란트
색변화,이차우식증,수복물 문제 개선,크라운보철
깨짐,치아 파절,수복물 문제 개선,크라운보철
벌어짐,수복물 문제,수복물 문제 개선,심미수복
색변화,치근단질환,기능 회복 보존치료,임플란트
통증,치근단질환,신경치료,신경치료
색변화,치아우식증,신경치료,크라운보철
통증,수복물 문제,기능 회복 보존치료,임플란트
통증,치근단질환,기능 회복 보존치료,임플란트
통증,치근단질환,신경치료,신경치료
깨짐,수복물 문제,수복물 문제 개선,충치치료
부러짐,치아 파절,치아파절 수복,심미수복
깨짐,치아 파절,치아파절 수복,심미수복
흔들림,치근단질환,기능 회복 보존치료,임플란트
통증,치근단질환,신경치료,신경치료
흔들림,치근단질환,임플란트 식립,임플란트
부러짐,치아 파절,치아파절 수복,심미수복
부러짐,치근단질환,기능 회복 보존치료,임플란트
흔들림,치근단질환,기능 회복 보존치료,임플란트
흔들림,수복물 문제,신경치료,신경치료
벌어짐,치아 파절,심미수복 치료,심미수복
통증,치아우식증,충치치료,충치치료
흔들림,치근단질환,심미수복 치료,임플란트
흔들림,치근단질환,기능 회복 보존치,임플란트
흔들림,수복물 문제,수복물 문제 개선,심미수복
벌어짐,비우식성 경조직 결손,심미수복 치료,심미수복
흔들림,치수괴사,신경치료,신경치료
색변화,치아우식증,충치치료,충치치료
깨짐,치아 파절,심미수복 치료,심미수복
흔들림,치근단질환,기능 회복 보존치료,발치
흔들림,기타,기능 회복 보존치료,임플란트
깨짐,치아 파절,치아파절 수복,크라운보철
깨짐,수복물 문제,수복물 문제 개선,보철
통증,치아우식증,수복물 문제 개선,충치치료
붓기,치근단질환,신경치료,신경치료
흔들림,수복물 문제,기능 회복 보존치료,임플란트
색변화,치수괴사,신경치료,미백
벌어짐,수복물 문제,심미수복 치료,크라운보철
벌어짐,수복물 문제,기능 회복 보존치,임플란트
통증,치근단질환,수복물 문제 개선,신경치료
시림,치아우식증,충치치료,충치치료
통증,치근단질환,신경치료,신경치료
부러짐,치아 파절,신경치료,신경치료
깨짐,이차우식증,충치치료,충치치료
통증,치근단질환,기능 회복 보존치,임플란트
부러짐,외상성 손상,외상치 수복,크라운보철
벌어짐,이차우식증,이차우식 치료,크라운보철
흔들림,치근단질환,기능 회복 보존치료,임플란트
흔들림,치근단질환,기능 회복 보존치,임플란트
통증,치아우식증,이차우식 치료,충치치료
깨짐,치근단질환,심미수복 치료,임플란트
부러짐,치아 파절,수복물 문제 개선,임플란트
색변화,치아우식증,신경치료,신경치료
색변화,수복물 문제,치아변색 개선,크라운보철
흔들림,치근단질환,임플란트 식립,임플란트
흔들림,치근단질환,기능 회복 보존치,임플란트
벌어짐,비우식성 경조직 결손,심미수복 치료,심미수복
흔들림,치근단질환,기능 회복 보존치료,임플란트
부러짐,치수괴사,기능 회복 보존치,크라운보철
통증,수복물 문제,신경치료,신경치료
흔들림,비우식성 경조직 결손,기능 회복 보존치,임플란트
통증,치근단질환,기능 회복 보존치료,임플란트
흔들림,치근단질환,신경치료,신경치료
흔들림,치근단질환,기능 회복 보존치료,임플란트
깨짐,치아 파절,심미수복 치료,심미수복
부러짐,치아 파절,신경치료,신경치료
부러짐,치근단질환,기능 회복 보존치료,임플란트
색변화,치아우식증,충치치료,충치치료
흔들림,수복물 문제,신경치료,신경치료
흔들림,치근단질환,신경치료,신경치료
깨짐,치아 파절,심미수복 치료,심미수복
흔들림,치아 파절,기능 회복 보존치료,임플란트
통증,치아 파절,신경치료,신경치료
흔들림,치근단질환,신경치료,신경치료
색변화,치아우식증,충치치료,충치치료
흔들림,수복물 문제,수복물 문제 개선,임플란트
부러짐,치아 파절,치아파절 수복,신경치료
붓기,수복물 문제,기능 회복 보존치,임플란트
흔들림,치근단질환,수복물 문제 개선,임플란트
색변화,수복물 문제,심미수복 치료,크라운보철
통증,이차우식증,신경치료,신경치료
흔들림,치근단질환,수복물 문제 개선,임플란트
붓기,치근단질환,신경치료,신경치료
깨짐,수복물 문제,수복물 문제 개선,충치치료
붓기,치근단질환,신경치료,신경치료
부러짐,치근단질환,기능 회복 보존치료,임플란트
깨짐,치아우식증,이차우식 치료,충치치료
통증,치수염,신경치료,신경치료
벌어짐,외상성 손상,기능 회복 보존치료,임플란트
시림,비우식성 경조직 결손,비우식성 경조직 결손 치료,심미수복
통증,치아 파절,치아파절 수복,임플란트
통증,수복물 문제,이차우식 치료,충치치료
통증,치수괴사,신경치료,신경치료
통증,치수괴사,신경치료,신경치료
부러짐,치아 파절,기능 회복 보존치료,임플란트
부러짐,외상성 손상,기능 회복 보존치,충치치료
통증,수복물 문제,이차우식 치료,충치치료
통증,치근단질환,신경치료,신경치료
통증,치근단질환,신경치료,신경치료
깨짐,치아우식증,충치치료,충치치료
붓기,치근단질환,신경치료,신경치료
깨짐,이차우식증,이차우식 치료,충치치료
깨짐,이차우식증,충치치료,충치치료
통증,치근단질환,신경치료,신경치료
색변화,치아우식증,심미수복 치료,심미수복
통증,치근단질환,기능 회복 보존치료,임플란트
